01-PROCEDURA APERTA;Item01PROCEDURAAPERTA
02-PROCEDURA RISTRETTA;Item02PROCEDURARISTRETTA
03-PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE DEL BANDO;Item03PROCEDURANEGOZIATAPREVIAPUBBLICAZIONEDELBANDO
04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO;Item04PROCEDURANEGOZIATASENZAPREVIAPUBBLICAZIONEDELBANDO
05-DIALOGO COMPETITIVO;Item05DIALOGOCOMPETITIVO
06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI  GARA ART. 221 D.LGS. 163/2006;Item06PROCEDURANEGOZIATASENZAPREVIAINDIZIONEDIGARAART221DLGS1632006
07-SISTEMA DINAMICO DI ACQUISIZIONE;Item07SISTEMADINAMICODIACQUISIZIONE
08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;Item08AFFIDAMENTOINECONOMIACOTTIMOFIDUCIARIO
14-PROCEDURA SELETTIVA EX ART 238 C.7, D.LGS. 163/2006;Item14PROCEDURASELETTIVAEXART238C7DLGS1632006
17-AFFIDAMENTO DIRETTO EX ART. 5 DELLA LEGGE N.381/91;Item17AFFIDAMENTODIRETTOEXART5DELLALEGGEN38191
21-PROCEDURA RISTRETTA DERIVANTE DA AVVISI CON CUI SI INDICE LA GARA;Item21PROCEDURARISTRETTADERIVANTEDAAVVISICONCUISIINDICELAGARA
22-PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE LA GARA;Item22PROCEDURANEGOZIATADERIVANTEDAAVVISICONCUISIINDICELAGARA
23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO;Item23AFFIDAMENTOINECONOMIAAFFIDAMENTODIRETTO
23-ACQUISIZIONE IN ECONOMIA AFFIDAMENTO DIRETTO;Item23AFFIDAMENTOINECONOMIAAFFIDAMENTODIRETTO
24-AFFIDAMENTO DIRETTO A SOCIETA IN HOUSE;Item24AFFIDAMENTODIRETTOASOCIETAINHOUSE
25-AFFIDAMENTO DIRETTO A SOCIETA RAGGRUPPATE/CONSORZIATE O CONTROLLATE NELLE CONCESSIONI DI LL.PP;Item25AFFIDAMENTODIRETTOASOCIETARAGGRUPPATECONSORZIATEOCONTROLLATENELLECONCESSIONIDILLPP,
26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;Item26AFFIDAMENTODIRETTOINADESIONEADACCORDOQUADROCONVENZIONE
27-CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;Item27CONFRONTOCOMPETITIVOINADESIONEADACCORDOQUADROCONVENZIONE
28-PROCEDURA AI SENSI DEI REGOLAMENTI DEGLI ORGANI COSTITUZIONALI;Item28PROCEDURAAISENSIDEIREGOLAMENTIDEGLIORGANICOSTITUZIONALI


